	DmPA_Lucas_cellpellets_IV4	DmPA_Lucas_cellpellets_IV5	DmPA_Lucas_cellpellets_IV6	DmPA_Lucas_cellpellets_IV10	DmPA_Lucas_cellpellets_IV11	DmPA_Lucas_cellpellets_IV12	DmPA_Lucas_cellpellets_IV22	DmPA_Lucas_cellpellets_IV23	DmPA_Lucas_cellpellets_IV24	DmPA_Lucas_cellpellets_IV34	DmPA_Lucas_cellpellets_IV35	DmPA_Lucas_cellpellets_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
974	22.703351661163115	16.91825408372004	22.65309979062724	16.91825408372004	16.91825408372004	16.91825408372004	19.33358742422539	16.91825408372004	16.91825408372004	16.91825408372004	16.91825408372004	16.91825408372004	F8870	335.2343	404.99	1096	0.20259546426829228	0.06475100390924739		0.25117739474877737	0.1835111873001967	0.4226497308103736
975	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	17.662421731211932	F8879	335.2537	473.01	206	0.14025084275072278	0.6087170316973567				
976	16.795890784399596	20.63119970335085	20.004294844727816	16.795890784399596	20.18515079157285	20.0067910859004	19.75387981018765	16.795890784399596	16.795890784399596	19.73226004068778	20.35655279848549	20.233095886059463	F8903	259.9657	539.85	1924	0.9019362570131472	0.29927350949245085	0.4197038166461809	0.4290588242757812	0.9316827894688651	0.13775705103691446
977	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	18.06807474020308	F8917	288.0925	384.11	209	0.0	0.0				
978	17.914668312800334	17.914668312800334	20.236591736657186	17.914668312800334	17.914668312800334	17.914668312800334	17.914668312800334	17.914668312800334	17.914668312800334	17.914668312800334	17.914668312800334	17.914668312800334	F8919	288.0963	478.79	174	0.343436396137912	0.3434363961379163		0.42264973081037494	0.42264973081037494	
979	20.69682625145377	20.634199282380507	20.85664753763985	20.39120248186274	20.819384668368752	20.913312021404565	18.272459140196712	21.289149224641783	21.31968604535855	20.817697034983137	21.22241176889231	20.63584321218227	F8940	335.2792	599.47	16	0.8075139465725769	0.5788913497618231	0.47998531462658545	0.7088216090110699	0.911292742136236	0.6157691985426662
980	16.585763993680594	14.263894568407986	17.98729904682577	14.263894568407986	14.263894568407986	19.21905806979914	18.22972031184372	18.686594851157317	19.07524849430123	19.39039389598244	19.58852394028146	19.44264458408081	F8943	313.0893	395.93	43	0.012780434638174862	0.8211579839990013	0.16387255541332563	0.15357339314494506	0.8644120640216572	0.07280149702687672
981	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	16.86386638905131	19.42439448211798	F8950	313.0934	362.18	513	0.3434363961379139	0.34343639613791277	0.42264973081037427			0.42264973081037427
982	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	20.46746011560065	F8951	313.0976	401.18	654	0.0	0.0				
983	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	16.989032610199498	F8952	313.0976	403.02	207	0.0	0.0				
984	24.093696095226328	24.239382171731027	23.91128969062629	24.537900071125208	24.077283308637547	23.858553063821216	24.483387951318896	24.050672067866003	24.580185051578525	24.18109644794444	24.735880613355548	23.21151955471664	F8953	288.123	373.21	1236	0.7403549667160918	0.6339776216291243	0.8300092735510185	0.21539292890334108	0.7538837280643953	0.5466837509945551
