	DmPA_Lucas_cellmedia_IV4	DmPA_Lucas_cellmedia_IV5	DmPA_Lucas_cellmedia_IV6	DmPA_Lucas_cellmedia_IV10	DmPA_Lucas_cellmedia_IV11	DmPA_Lucas_cellmedia_IV12	DmPA_Lucas_cellmedia_IV22	DmPA_Lucas_cellmedia_IV23	DmPA_Lucas_cellmedia_IV24	DmPA_Lucas_cellmedia_IV34	DmPA_Lucas_cellmedia_IV35	DmPA_Lucas_cellmedia_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko	name	ion_relation	isotopologue
402	19.60566753618451	16.342667310910258	20.72482580950673	16.342667310910258	16.342667310910258	16.342667310910258	21.68675531577964	22.47975991813969	16.342667310910258	16.342667310910258	20.77471369812214	16.342667310910258	F22554	359.1335	428.37	276	0.3174909622213789	0.0926784367618061	0.422649730810374	0.6163981425137722	0.1921137930411501	0.3914415573210471	Isocitrate_dmpa*1	H+	m+13C*5
403	19.60566753618451	16.342667310910258	20.72482580950673	16.342667310910258	16.342667310910258	16.342667310910258	21.68675531577964	22.47975991813969	16.342667310910258	16.342667310910258	20.77471369812214	16.342667310910258	F22554	359.1335	428.37	276	0.3174909622213789	0.0926784367618061	0.422649730810374	0.6163981425137722	0.1921137930411501	0.3914415573210471	Citrate_dmpa*1	H+	m+13C*5
404	21.368966939674426	18.601238152645408	22.27144913201496	18.601238152645408	18.601238152645408	18.601238152645408	22.573629666498217	22.75053476146069	18.601238152645408	20.92316334528609	22.1448018911215	21.62095805118048	F22555	359.1335	444.78	220	0.0910079850741064	0.3361893041033114	0.0139751902747937	0.764791221387762	0.1914095509538806	0.8707035424306027	Isocitrate_dmpa*1	H+	m+13C*5
405	21.368966939674426	18.601238152645408	22.27144913201496	18.601238152645408	18.601238152645408	18.601238152645408	22.573629666498217	22.75053476146069	18.601238152645408	20.92316334528609	22.1448018911215	21.62095805118048	F22555	359.1335	444.78	220	0.0910079850741064	0.3361893041033114	0.0139751902747937	0.764791221387762	0.1914095509538806	0.8707035424306027	Citrate_dmpa*1	H+	m+13C*5
406	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	F22556	359.1335	474.72	491	0.0	0.0					Isocitrate_dmpa*1	H+	m+13C*5
407	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	16.766146394621273	F22556	359.1335	474.72	491	0.0	0.0					Citrate_dmpa*1	H+	m+13C*5
408	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	18.624444133674483	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	F22557	359.1335	493.76	72	0.3434363961379143	0.3434363961379153		0.4226497308103749		0.4226497308103749	Isocitrate_dmpa*1	H+	m+13C*5
409	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	18.624444133674483	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	16.302530318387188	F22557	359.1335	493.76	72	0.3434363961379143	0.3434363961379153		0.4226497308103749		0.4226497308103749	Citrate_dmpa*1	H+	m+13C*5
410	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	16.438377296153416	16.43234042257733	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	F22558	359.1335	534.07	122	0.1173073407020154	0.1173073407020161		0.1835041072275366		0.1835041072275366	Isocitrate_dmpa*1	H+	m+13C*5
411	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	16.438377296153416	16.43234042257733	14.110477580218108	14.110477580218108	14.110477580218108	14.110477580218108	F22558	359.1335	534.07	122	0.1173073407020154	0.1173073407020161		0.1835041072275366		0.1835041072275366	Citrate_dmpa*1	H+	m+13C*5
